ཀ་ཀོ་ལའི,ཀ་ཀོ་ལ
བསྒྲིབས་པའི,བསྒྲིབས་པ
བསྒྲིལ་བའི,བསྒྲིལ་བ
བསྒྲིལ་བར,བསྒྲིལ་བ
བསྒྲུབ་པའི,བསྒྲུབ་པ
བསྒྲུབ་པར,བསྒྲུབ་པ
བསྒྲུབས་པའི,བསྒྲུབས་པ
བསྒྲུབས་པར,བསྒྲུབས་པ
བསྒྲུབས་པས,བསྒྲུབས་པ
ང་རས,ང་ར
ངང་པས,ངང་པ
ངན་པའི,ངན་པ
ངན་པར,ངན་པ
ངན་པས,ངན་པ
ངར་སྒྲས,ངར་སྒྲ
ངར་བའི,ངར་བ
ངལ་བའི,ངལ་བ
ངལ་བར,ངལ་བ
ངུ་བའི,ངུ་བ
ངེས་པའི,ངེས་པ
ངེས་པར,ངེས་པ
ངེས་པས,ངེས་པ
ངོ་མའི,ངོ་མ
ངོ་མར,ངོ་མ
ངོ་མས,ངོ་མ
ངོ་ཚར,ངོ་ཚ
ངོམ་པའི,ངོམ་པ
ངོམ་པར,ངོམ་པ
ངོམས་པས,ངོམས་པ
དངར་བའི,དངར་བ
དངུལ་རྩའི,དངུལ་རྩ
དངུལ་རྩས,དངུལ་རྩ
མངགས་པའི,མངགས་པ
མངའ་བའི,མངའ་བ
མངའ་བར,མངའ་བ
མངའ་བས,མངའ་བ
མངར་ཆའི,མངར་ཆ
མངོན་པའི,མངོན་པ
མངོན་པར,མངོན་པ
མངོན་པས,མངོན་པ
རྔ་སྒྲས,རྔ་སྒྲ
རྔ་པའི,རྔ་པ
རྔ་བའི,རྔ་བ
རྔ་མའི,རྔ་མ
རྔ་མར,རྔ་མ
རྔ་མས,རྔ་མ
རྔམ་པའི,རྔམ་པ
རྔོད་པར,རྔོད་པ
རྔོན་པའི,རྔོན་པ
རྔོན་པར,རྔོན་པ
ལྔ་ཆའི,ལྔ་ཆ
སྔ་བའི,སྔ་བ
སྔ་མའི,སྔ་མ
སྔ་མར,སྔ་མ
སྔ་མས,སྔ་མ
སྔགས་པའི,སྔགས་པ
སྔགས་པར,སྔགས་པ
སྔགས་པས,སྔགས་པ
སྔངས་པའི,སྔངས་པ
སྔོ་བའི,སྔོ་བ
སྔོག་པའི,སྔོག་པ
སྔོན་བརྡའི,སྔོན་བརྡ
སྔོན་མའི,སྔོན་མ
སྔོན་མར,སྔོན་མ
བརྔོས་པའི,བརྔོས་པ
བསྔགས་པའི,བསྔགས་པ
བསྔགས་པར,བསྔགས་པ
ཅི་གར,ཅི་ག
ཅི་དགར,ཅི་དགའ
ཅི་འདྲའི,ཅི་འདྲ
ཅི་འདྲར,ཅི་འདྲ
ཅེས་པའི,ཅེས་པ
ཅེས་པར,ཅེས་པ
ཅེས་པས,ཅེས་པ
ཅེས་བྱ་བར,ཅེས་བྱ་བ
ཅེས་བྱ་བས,ཅེས་བྱ་བ
གཅད་པར,གཅད་པ
གཅན་ཚའི,གཅན་ཚ
གཅིག་པའི,གཅིག་པ
གཅིག་པར,གཅིག་པ
གཅིག་པས,གཅིག་པ
གཅེས་པའི,གཅེས་པ
གཅེས་པར,གཅེས་པ
གཅོག་པར,གཅོག་པ
གཅོད་པའི,གཅོད་པ
གཅོད་པར,གཅོད་པ
