ཀ་ཀོ་ལའི,ཀ་ཀོ་ལ
བསྩལ་བས,བསྩལ་བ
ཚ་བའི,ཚ་བ
ཚ་ལའི,ཚ་ལ
ཚག་པར,ཚག་པ
ཚང་བའི,ཚང་བ
ཚང་བར,ཚང་བ
ཚང་བས,ཚང་བ
ཚང་མའི,ཚང་མ
ཚང་མར,ཚང་མ
ཚང་མས,ཚང་མ
ཚངས་པའི,ཚངས་པ
ཚངས་པར,ཚངས་པ
ཚད་མའི,ཚད་མ
ཚད་མར,ཚད་མ
ཚན་པའི,ཚན་པ
ཚན་པར,ཚན་པ
ཚན་པས,ཚན་པ
ཚར་པས,ཚར་པ
ཚར་བའི,ཚར་བ
ཚར་བར,ཚར་བ
ཚར་བས,ཚར་བ
ཚལ་པའི,ཚལ་པ
ཚིག་མཐའི,ཚིག་མཐའ
ཚིག་པས,ཚིག་པ
ཚིམ་པའི,ཚིམ་པ
ཚིམ་པར,ཚིམ་པ
ཚིམས་པའི,ཚིམས་པ
ཚིམས་པར,ཚིམས་པ
ཚུགས་པའི,ཚུགས་པ
ཚུགས་པར,ཚུགས་པ
ཚུགས་པས,ཚུགས་པ
ཚུད་པའི,ཚུད་པ
ཚུད་པར,ཚུད་པ
ཚེ་རིང་བའི,ཚེ་རིང་བ
ཚེ་རིང་བར,ཚེ་རིང་བ
ཚེར་མའི,ཚེར་མ
ཚེར་མས,ཚེར་མ
ཚེས་དགེ་བར,ཚེས་དགེ་བ
ཚེས་པའི,ཚེས་པ
ཚོ་བའི,ཚོ་བ
ཚོ་བར,ཚོ་བ
ཚོ་བས,ཚོ་བ
ཚོགས་པའི,ཚོགས་པ
ཚོགས་པར,ཚོགས་པ
ཚོགས་པས,ཚོགས་པ
ཚོང་པའི,ཚོང་པ
ཚོང་པས,ཚོང་པ
ཚོང་རའི,ཚོང་ར
ཚོང་རར,ཚོང་ར
ཚོད་མའི,ཚོད་མ
ཚོད་ཟིན་པར,ཚོད་ཟིན་པ
ཚོན་ཁྲའི,ཚོན་ཁྲ
ཚོར་བའི,ཚོར་བ
ཚོར་བར,ཚོར་བ
ཚོར་བས,ཚོར་བ
ཚོས་པའི,ཚོས་པ
ཚོས་པར,ཚོས་པ
མཚན་པའི,མཚན་པ
མཚན་མའི,མཚན་མ
མཚན་མར,མཚན་མ
མཚར་བར,མཚར་བ
མཚར་བས,མཚར་བ
མཚུངས་པའི,མཚུངས་པ
མཚུངས་པར,མཚུངས་པ
མཚུངས་པས,མཚུངས་པ
མཚེར་བའི,མཚེར་བ
མཚོ་ཁའི,མཚོ་ཁ
མཚོ་ཁར,མཚོ་ཁ
མཚོ་མཐར,མཚོ་མཐའ
མཚོ་སྣར,མཚོ་སྣ
མཚོན་ཆའི,མཚོན་ཆ
མཚོན་ཆར,མཚོན་ཆ
མཚོན་པའི,མཚོན་པ
མཚོན་པར,མཚོན་པ
མཚོན་པས,མཚོན་པ
མཚོན་བྱའི,མཚོན་བྱ
འཚག་པར,འཚག་པ
འཚང་བར,འཚང་བ
འཚམ་པའི,འཚམ་པ
འཚམ་པར,འཚམ་པ
འཚམ་པས,འཚམ་པ
འཚམས་པའི,འཚམས་པ
འཚམས་པར,འཚམས་པ
འཚར་བའི,འཚར་བ
འཚུབ་པའི,འཚུབ་པ
འཚུབ་མའི,འཚུབ་མ
འཚེ་བའི,འཚེ་བ
འཚེམ་པར,འཚེམ་པ
འཚེར་བའི,འཚེར་བ
འཚེར་བར,འཚེར་བ
འཚོ་བའི,འཚོ་བ
འཚོ་བར,འཚོ་བ
འཚོ་བས,འཚོ་བ
འཚོག་པའི,འཚོག་པ
འཚོགས་པའི,འཚོགས་པ
འཚོགས་པར,འཚོགས་པ
འཚོལ་བའི,འཚོལ་བ
འཚོལ་བར,འཚོལ་བ
ཛ་ཡའི,ཛ་ཡ
མཛངས་པའི,མཛངས་པ
མཛངས་མའི,མཛངས་མ
མཛད་པའི,མཛད་པ
མཛད་པར,མཛད་པ
མཛད་པས,མཛད་པ
མཛའ་བར,མཛའ་བ
མཛེས་པའི,མཛེས་པ
མཛེས་པར,མཛེས་པ
མཛེས་པས,མཛེས་པ
མཛེས་མའི,མཛེས་མ
མཛེས་མས,མཛེས་མ
འཛད་པའི,འཛད་པ
འཛིངས་པའི,འཛིངས་པ
འཛིན་གྲྭའི,འཛིན་གྲྭ
འཛིན་གྲྭར,འཛིན་གྲྭ
འཛིན་གྲྭས,འཛིན་གྲྭ
འཛིན་ཆས,འཛིན་ཆ
འཛིན་པའི,འཛིན་པ
འཛིན་པར,འཛིན་པ
འཛིན་པས,འཛིན་པ
འཛིན་མའི,འཛིན་མ
འཛིན་མར,འཛིན་མ
འཛུགས་པའི,འཛུགས་པ
འཛུགས་པར,འཛུགས་པ
འཛུལ་བས,འཛུལ་བ
འཛེག་པའི,འཛེག་པ
འཛེགས་པའི,འཛེགས་པ
འཛེགས་པར,འཛེགས་པ
འཛེམས་པས,འཛེམས་པ
འཛེར་བས,འཛེར་བ
འཛོམ་པའི,འཛོམ་པ
འཛོམས་པའི,འཛོམས་པ
འཛོམས་པར,འཛོམས་པ
འཛོམས་པས,འཛོམས་པ
འཛོལ་བའི,འཛོལ་བ
རྫ་མའི,རྫ་མ
རྫུ་བའི,རྫུ་བ
རྫུན་པར,རྫུན་པ
རྫུན་མའི,རྫུན་མ
རྫོགས་པའི,རྫོགས་པ
རྫོགས་པར,རྫོགས་པ
རྫོགས་པས,རྫོགས་པ
རྫོང་བའི,རྫོང་བ
རྫོང་བར,རྫོང་བ
རྫོབ་པར,རྫོབ་པ
བརྫངས་པས,བརྫངས་པ
བརྫི་བའི,བརྫི་བ
བརྫིས་པའི,བརྫིས་པ
ཝེར་མའི,ཝེར་མ
ཞ་བའི,ཞ་བ
ཞག་མར,ཞག་མ
ཞགས་པས,ཞགས་པ
ཞན་པའི,ཞན་པ
ཞན་པར,ཞན་པ
ཞན་པས,ཞན་པ
ཞི་བའི,ཞི་བ
ཞི་བར,ཞི་བ
ཞི་བས,ཞི་བ
ཞིག་པས,ཞིག་པ
ཞིང་ཁའི,ཞིང་ཁ
ཞིང་ཁར,ཞིང་ཁ
ཞིང་པའི,ཞིང་པ
ཞིང་པར,ཞིང་པ
ཞིང་པས,ཞིང་པ
ཞིང་རའི,ཞིང་ར
ཞིང་སའི,ཞིང་ས
ཞིང་སར,ཞིང་ས
ཞིབ་པའི,ཞིབ་པ
ཞིབ་པར,ཞིབ་པ
ཞིབ་ཕྲའི,ཞིབ་ཕྲ
ཞུ་བའི,ཞུ་བ
ཞུ་བར,ཞུ་བ
ཞུ་བས,ཞུ་བ
ཞུས་པའི,ཞུས་པ
ཞུས་པར,ཞུས་པ
ཞུས་པས,ཞུས་པ
ཞེ་སའི,ཞེ་ས
ཞེ་སར,ཞེ་ས
ཞེན་པའི,ཞེན་པ
ཞེན་པས,ཞེན་པ
ཞོགས་ཀས,ཞོགས་ཀ
ཞོགས་པའི,ཞོགས་པ
ཞོགས་པར,ཞོགས་པ
ཞོན་པའི,ཞོན་པ
ཞོལ་པར,ཞོལ་པ
ཞྭ་དམར་པའི,ཞྭ་དམར་པ
གཞལ་བའི,གཞལ་བ
གཞི་མར,གཞི་མ
གཞི་རྩའི,གཞི་རྩ
གཞི་རྩར,གཞི་རྩ
གཞིགས་པའི,གཞིགས་པ
གཞིགས་པས,གཞིགས་པ
གཞིས་པའི,གཞིས་པ
གཞུང་མའི,གཞུང་མ
གཞུང་སའི,གཞུང་ས
གཞེས་པའི,གཞེས་པ
གཞོང་པའི,གཞོང་པ
གཞོན་པའི,གཞོན་པ
གཞོན་པར,གཞོན་པ
གཞོན་པས,གཞོན་པ
གཞོལ་བའི,གཞོལ་བ
གཞོལ་བར,གཞོལ་བ
གཞོལ་བས,གཞོལ་བ
བཞག་པའི,བཞག་པ
བཞག་པར,བཞག་པ
བཞག་པས,བཞག་པ
བཞག་བྲའི,བཞག་བྲ
བཞད་པའི,བཞད་པ
བཞད་པས,བཞད་པ
བཞི་ཆའི,བཞི་ཆ
བཞི་པའི,བཞི་པ
བཞི་པར,བཞི་པ
བཞུ་བའི,བཞུ་བ
བཞུ་བར,བཞུ་བ
བཞུགས་པའི,བཞུགས་པ
བཞུགས་པར,བཞུགས་པ
བཞུགས་པས,བཞུགས་པ
བཞུད་པའི,བཞུད་པ
བཞུར་བའི,བཞུར་བ
བཞུས་པའི,བཞུས་པ
བཞེངས་པའི,བཞེངས་པ
བཞེངས་པར,བཞེངས་པ
བཞེངས་པས,བཞེངས་པ
བཞེད་པའི,བཞེད་པ
བཞེད་པར,བཞེད་པ
བཞེས་པའི,བཞེས་པ
བཞེས་པར,བཞེས་པ
བཞེས་པས,བཞེས་པ
བཞོ་བའི,བཞོ་བ
བཞོས་པའི,བཞོས་པ
ཟ་བའི,ཟ་བ
ཟ་བར,ཟ་བ
ཟ་བས,ཟ་བ
ཟ་མའི,ཟ་མ
ཟགས་པའི,ཟགས་པ
ཟགས་པར,ཟགས་པ
ཟད་མཐར,ཟད་མཐའ
ཟད་པའི,ཟད་པ
ཟད་པར,ཟད་པ
ཟད་པས,ཟད་པ
ཟབ་པའི,ཟབ་པ
ཟབ་པར,ཟབ་པ
ཟམ་པའི,ཟམ་པ
ཟམ་པར,ཟམ་པ
ཟས་ཁར,ཟས་ཁ
ཟིན་པའི,ཟིན་པ
ཟིན་པར,ཟིན་པ
ཟིན་པས,ཟིན་པ
ཟུག་པའི,ཟུག་པ
ཟུམ་པར,ཟུམ་པ
ཟུར་ཟའི,ཟུར་ཟ
ཟེགས་མའི,ཟེགས་མ
ཟེར་བའི,ཟེར་བ
ཟེར་བར,ཟེར་བ
ཟེར་བས,ཟེར་བ
ཟོ་བའི,ཟོ་བ
ཟོར་བའི,ཟོར་བ
ཟོས་པའི,ཟོས་པ
ཟོས་པར,ཟོས་པ
ཟོས་པས,ཟོས་པ
ཟླ་བའི,ཟླ་བ
ཟླ་བར,ཟླ་བ
ཟླ་བས,ཟླ་བ
ཟླུམ་པའི,ཟླུམ་པ
ཟློག་པའི,ཟློག་པ
གཟབ་པར,གཟབ་པ
གཟབ་མའི,གཟབ་མ
གཟའ་སྤེན་པའི,གཟའ་སྤེན་པ
གཟའ་ཟླ་བའི,གཟའ་ཟླ་བ
གཟར་བའི,གཟར་བ
གཟིགས་པའི,གཟིགས་པ
གཟིགས་པར,གཟིགས་པ
གཟིགས་པས,གཟིགས་པ
གཟིར་བས,གཟིར་བ
གཟུང་བར,གཟུང་བ
བཟང་བའི,བཟང་བ
བཟང་བར,བཟང་བ
བཟང་བས,བཟང་བ
བཟའ་བཅའི,བཟའ་བཅའ
བཟའ་བའི,བཟའ་བ
བཟའ་བར,བཟའ་བ
བཟའ་ཟླའི,བཟའ་ཟླ
བཟའ་ཟླས,བཟའ་ཟླ
བཟུང་བའི,བཟུང་བ
བཟུང་བར,བཟུང་བ
བཟེད་པའི,བཟེད་པ
བཟེད་པས,བཟེད་པ
བཟོ་གྲྭའི,བཟོ་གྲྭ
བཟོ་གྲྭར,བཟོ་གྲྭ
བཟོ་གྲྭས,བཟོ་གྲྭ
བཟོ་པའི,བཟོ་པ
བཟོ་བའི,བཟོ་བ
བཟོ་བར,བཟོ་བ
བཟོད་པའི,བཟོད་པ
བཟོད་པར,བཟོད་པ
བཟོས་པའི,བཟོས་པ
བཟོས་པར,བཟོས་པ
བཟོས་པས,བཟོས་པ
འོ་མའི,འོ་མ
འོ་མར,འོ་མ
འོ་མས,འོ་མ
འོག་མའི,འོག་མ
འོག་མར,འོག་མ
འོང་གའི,འོང་ག
འོང་བའི,འོང་བ
འོང་བར,འོང་བ
འོང་བས,འོང་བ
འོངས་པའི,འོངས་པ
འོངས་པར,འོངས་པ
འོངས་པས,འོངས་པ
འོས་པའི,འོས་པ
འོས་པར,འོས་པ
འོས་པས,འོས་པ
ཡ་ང་བའི,ཡ་ང་བ
ཡ་མ་བརླར,ཡ་མ་བརླ
ཡག་པའི,ཡག་པ
ཡང་དགར,ཡང་དག
ཡང་ཆས,ཡང་ཆ
ཡང་ནས,ཡང་ན
ཡང་བར,ཡང་བ
ཡང་ཚས,ཡང་ཚ
ཡངས་པའི,ཡངས་པ
ཡངས་པར,ཡངས་པ
ཡངས་པས,ཡངས་པ
ཡན་པའི,ཡན་པ
ཡན་པར,ཡན་པ
ཡར་མར,ཡར་མ
ཡལ་གའི,ཡལ་ག
ཡལ་གར,ཡལ་ག
ཡལ་བའི,ཡལ་བ
ཡལ་བར,ཡལ་བ
ཡས་མས,ཡས་མ
ཡི་གར,ཡི་ག
ཡིག་ཆའི,ཡིག་ཆ
ཡིག་ཆར,ཡིག་ཆ
ཡིག་ཆས,ཡིག་ཆ
ཡིད་སྐྱོ་བའི,ཡིད་སྐྱོ་བ
ཡིན་པའི,ཡིན་པ
ཡིན་པར,ཡིན་པ
ཡིན་པས,ཡིན་པ
ཡིབ་པའི,ཡིབ་པ
ཡིབ་པར,ཡིབ་པ
ཡུ་བར,ཡུ་བ
ཡུར་བའི,ཡུར་བ
ཡུལ་ལྷའི,ཡུལ་ལྷ
ཡུལ་ལྷར,ཡུལ་ལྷ
ཡེར་བའི,ཡེར་བ
ཡོ་གའི,ཡོ་ག
ཡོང་བའི,ཡོང་བ
ཡོང་བར,ཡོང་བ
ཡོང་བས,ཡོང་བ
ཡོད་པའི,ཡོད་པ
ཡོད་པར,ཡོད་པ
ཡོད་པས,ཡོད་པ
ཡོལ་བར,ཡོལ་བ
ཡོལ་བས,ཡོལ་བ
གཡང་གཟར,གཡང་གཟའ
གཡང་སར,གཡང་ས
གཡར་བའི,གཡར་བ
གཡས་པའི,གཡས་པ
གཡས་པས,གཡས་པ
གཡས་མའི,གཡས་མ
གཡུལ་ཁའི,གཡུལ་ཁ
གཡུལ་སའི,གཡུལ་ས
གཡོག་པའི,གཡོག་པ
གཡོག་པར,གཡོག་པ
གཡོགས་པའི,གཡོགས་པ
གཡོགས་པར,གཡོགས་པ
གཡོན་པའི,གཡོན་པ
གཡོན་མས,གཡོན་མ
གཡོལ་བའི,གཡོལ་བ
གཡོས་པས,གཡོས་པ
ར་བའི,ར་བ
ར་བར,ར་བ
ར་མར,ར་མ
རག་པའི,རག་པ
རག་པར,རག་པ
རག་པས,རག་པ
རགས་པའི,རགས་པ
རགས་པར,རགས་པ
རགས་པས,རགས་པ
རང་ག་བའི,རང་ག་བ
རང་ག་བར,རང་ག་བ
རང་ག་བས,རང་ག་བ
རང་སའི,རང་ས
རང་སར,རང་ས
རན་པའི,རན་པ
རན་པར,རན་པ
རབ་དགའི,རབ་དགའ
རམས་པའི,རམས་པ
རམས་པར,རམས་པ
རལ་པས,རལ་པ
རས་པའི,རས་པ
རིག་པའི,རིག་པ
རིག་པར,རིག་པ
རིག་པས,རིག་པ
རིགས་བརྒྱའི,རིགས་བརྒྱ
རིགས་པའི,རིགས་པ
རིགས་པར,རིགས་པ
རིགས་པས,རིགས་པ
རིང་བའི,རིང་བ
རིང་བར,རིང་བ
རིང་བས,རིང་བ
རིམ་པའི,རིམ་པ
རིམ་པར,རིམ་པ
རིམ་པས,རིམ་པ
རུ་རྟའི,རུ་རྟ
རུང་བའི,རུང་བ
རུང་བར,རུང་བ
རུབ་པའི,རུབ་པ
རུམ་པའི,རུམ་པ
རུལ་བར,རུལ་བ
རུས་པའི,རུས་པ
རུས་པར,རུས་པ
རུས་པས,རུས་པ
རེ་འགའི,རེ་འགའ
རེ་འགར,རེ་འགའ
རེ་འགས,རེ་འགའ
རེ་བའི,རེ་བ
རེ་བར,རེ་བ
རེ་བས,རེ་བ
རེག་པའི,རེག་པ
རེག་བྱའི,རེག་བྱ
རེག་བྱས,རེག་བྱ
རེད་པར,རེད་པ
རེད་པས,རེད་པ
རེམ་པར,རེམ་པ
རེས་མས,རེས་མ
རོགས་པའི,རོགས་པ
རོགས་པར,རོགས་པ
རོགས་ཟླར,རོགས་ཟླ
རོལ་ཆའི,རོལ་ཆ
རོལ་ཆས,རོལ་ཆ
རོལ་བའི,རོལ་བ
རོལ་བར,རོལ་བ
རོལ་བས,རོལ་བ
རླངས་པའི,རླངས་པ
རླངས་པར,རླངས་པ
རླངས་པས,རླངས་པ
རླུང་རྟའི,རླུང་རྟ
རློན་པའི,རློན་པ
རློམ་པའི,རློམ་པ
རློམ་པས,རློམ་པ
བརླ་ཤའི,བརླ་ཤ
བརླག་པའི,བརླག་པ
བརླགས་པར,བརླགས་པ
བརླན་པའི,བརླན་པ
བརླན་པར,བརླན་པ
བརླབ་པར,བརླབ་པ
བརླབས་པའི,བརླབས་པ
བརླིང་བའི,བརླིང་བ
ལ་ཁར,ལ་ཁ
ལ་ཆས,ལ་ཆ
ལ་བར,ལ་བ
ལ་མར,ལ་མ
ལ་ལའི,ལ་ལ
ལ་ལར,ལ་ལ
ལ་ལས,ལ་ལ
ལག་ཆར,ལག་ཆ
ལག་པའི,ལག་པ
ལག་པར,ལག་པ
ལག་པས,ལག་པ
ལག་དམར,ལག་དམ
ལང་ཀར,ལང་ཀ
ལངས་པའི,ལངས་པ
ལངས་པས,ལངས་པ
ལབ་པས,ལབ་པ
ལམ་ཁའི,ལམ་ཁ
ལམ་ཁར,ལམ་ཁ
ལམ་དབུ་མས,ལམ་དབུ་མ
ལས་ཀའི,ལས་ཀ
ལས་ཀར,ལས་ཀ
ལས་གྲྭའི,ལས་གྲྭ
ལས་གྲྭར,ལས་གྲྭ
ལས་གྲྭས,ལས་གྲྭ
ལས་གླར,ལས་གླ
ལས་རྒྱས,ལས་རྒྱ
ལས་པའི,ལས་པ
ལས་སླ་བའི,ལས་སླ་བ
ལུ་ཧི་པའི,ལུ་ཧི་པ
ལུག་རར,ལུག་ར
ལུང་པའི,ལུང་པ
ལུང་པར,ལུང་པ
ལུང་པས,ལུང་པ
ལུད་པའི,ལུད་པ
ལུད་པར,ལུད་པ
ལུས་པའི,ལུས་པ
ལེགས་ཆར,ལེགས་ཆ
ལེགས་ཆས,ལེགས་ཆ
ལེགས་པའི,ལེགས་པ
ལེགས་པར,ལེགས་པ
ལེགས་པས,ལེགས་པ
ལེན་པའི,ལེན་པ
ལེན་པར,ལེན་པ
ལོ་ནའི,ལོ་ན
ལོ་ནར,ལོ་ན
ལོ་ནས,ལོ་ན
ལོ་བའི,ལོ་བ
ལོ་བར,ལོ་བ
ལོ་མའི,ལོ་མ
ལོ་མས,ལོ་མ
ལོ་ཙཱ་བའི,ལོ་ཙཱ་བ
ལོ་ཙཱ་བར,ལོ་ཙཱ་བ
ལོ་ཙཱ་བས,ལོ་ཙཱ་བ
ལོ་ཟླའི,ལོ་ཟླ
ལོག་པའི,ལོག་པ
ལོག་པར,ལོག་པ
ལོག་པས,ལོག་པ
ལོང་བའི,ལོང་བ
ལོང་བར,ལོང་བ
ལོངས་པའི,ལོངས་པ
ལོན་པའི,ལོན་པ
ལོན་པར,ལོན་པ
ལོན་པས,ལོན་པ
ལོབས་པར,ལོབས་པ
ལྭ་བའི,ལྭ་བ
ཤ་བའི,ཤ་བ
ཤ་མར,ཤ་མ
ཤ་ཚ་བའི,ཤ་ཚ་བ
ཤད་མའི,ཤད་མ
ཤན་པའི,ཤན་པ
ཤམ་བྷ་ལའི,ཤམ་བྷ་ལ
ཤར་པའི,ཤར་པ
ཤར་བའི,ཤར་བ
ཤར་བར,ཤར་བ
ཤར་མའི,ཤར་མ
ཤར་མར,ཤར་མ
ཤི་བའི,ཤི་བ
ཤི་བར,ཤི་བ
ཤིང་ཆའི,ཤིང་ཆ
ཤིང་ཆས,ཤིང་ཆ
ཤིས་པའི,ཤིས་པ
ཤུག་པའི,ཤུག་པ
ཤུག་པར,ཤུག་པ
ཤུག་པས,ཤུག་པ
ཤུད་པའི,ཤུད་པ
ཤུན་པའི,ཤུན་པ
ཤེས་པའི,ཤེས་པ
ཤེས་པར,ཤེས་པ
ཤེས་པས,ཤེས་པ
ཤེས་བྱའི,ཤེས་བྱ
ཤེས་བྱར,ཤེས་བྱ
ཤེས་བྱས,ཤེས་བྱ
ཤོང་བའི,ཤོང་བ
ཤོད་པའི,ཤོད་པ
ཤོར་བའི,ཤོར་བ
ཤོར་བར,ཤོར་བ
ཤོར་བས,ཤོར་བ
གཤིན་སར,གཤིན་ས
གཤིས་ཀའི,གཤིས་ཀ
གཤིས་ཀར,གཤིས་ཀ
གཤེ་བར,གཤེ་བ
གཤེགས་པའི,གཤེགས་པ
གཤེགས་པས,གཤེགས་པ
བཤད་གྲྭའི,བཤད་གྲྭ
བཤད་གྲྭར,བཤད་གྲྭ
བཤད་པའི,བཤད་པ
བཤད་པར,བཤད་པ
བཤད་པས,བཤད་པ
བཤམ་པར,བཤམ་པ
བཤམས་པའི,བཤམས་པ
བཤམས་པར,བཤམས་པ
བཤལ་བའི,བཤལ་བ
བཤས་རའི,བཤས་ར
བཤུས་པའི,བཤུས་པ
ས་སྐྱའི,ས་སྐྱ
ས་སྐྱར,ས་སྐྱ
ས་སྐྱས,ས་སྐྱ
ས་ཁར,ས་ཁ
ས་ཁྲའི,ས་ཁྲ
ས་ཆའི,ས་ཆ
ས་ཆར,ས་ཆ
ས་ཆས,ས་ཆ
ས་མཐའི,ས་མཐའ
ས་མཐར,ས་མཐའ
ས་པའི,ས་པ
ས་ཟླའི,ས་ཟླ
སད་པའི,སད་པ
སད་པར,སད་པ
སཱ་ལའི,སཱ་ལ
སིང་པའི,སིང་པ
སིང་པས,སིང་པ
སིམ་པའི,སིམ་པ
སིམ་པས,སིམ་པ
སུམ་བརྒྱའི,སུམ་བརྒྱ
སུམ་ཆའི,སུམ་ཆ
སུམ་པའི,སུམ་པ
སེ་རའི,སེ་ར
སེང་བས,སེང་བ
སེམས་པའི,སེམས་པ
སེམས་པར,སེམས་པ
སེམས་པས,སེམས་པ
སེར་ཀར,སེར་ཀ
སེར་སྐྱའི,སེར་སྐྱ
སེར་སྣས,སེར་སྣ
སེར་བའི,སེར་བ
སེར་བར,སེར་བ
སེལ་བའི,སེལ་བ
སེལ་བར,སེལ་བ
སེལ་བས,སེལ་བ
སོ་མའི,སོ་མ
སོ་རས,སོ་ར
སོག་པའི,སོག་པ
སོག་མའི,སོག་མ
སོང་བའི,སོང་བ
སོང་བར,སོང་བ
སོང་བས,སོང་བ
སོན་པའི,སོན་པ
སོན་པར,སོན་པ
སོལ་བའི,སོལ་བ
སོས་པའི,སོས་པ
སོས་པར,སོས་པ
སྲ་བའི,སྲ་བ
སྲ་བར,སྲ་བ
སྲ་བས,སྲ་བ
སྲན་མའི,སྲན་མ
སྲབ་པར,སྲབ་པ
སྲིད་མཐའི,སྲིད་མཐའ
སྲིད་མཐར,སྲིད་མཐའ
སྲིད་པའི,སྲིད་པ
སྲིད་པར,སྲིད་པ
སྲིད་པས,སྲིད་པ
སྲུང་བའི,སྲུང་བ
སྲུང་བར,སྲུང་བ
སྲུང་མའི,སྲུང་མ
སྲུང་མར,སྲུང་མ
སྲུང་མས,སྲུང་མ
སྲུབ་པར,སྲུབ་པ
སྲེ་བའི,སྲེ་བ
སྲེ་བར,སྲེ་བ
སྲེག་པའི,སྲེག་པ
སྲེག་པར,སྲེག་པ
སྲེག་པས,སྲེག་པ
སྲེད་པའི,སྲེད་པ
སྲོག་རྩར,སྲོག་རྩ
སླ་ངའི,སླ་ང
སླ་བའི,སླ་བ
སླ་བར,སླ་བ
སླ་བས,སླ་བ
སླད་མར,སླད་མ
སླས་པའི,སླས་པ
སླེབ་པའི,སླེབ་པ
སླེབས་པའི,སླེབས་པ
སླེབས་པར,སླེབས་པ
སླེབས་པས,སླེབས་པ
སློ་མར,སློ་མ
སློག་པའི,སློག་པ
སློག་པར,སློག་པ
སློང་བའི,སློང་བ
སློང་བར,སློང་བ
སློབ་གྲྭའི,སློབ་གྲྭ
སློབ་གྲྭར,སློབ་གྲྭ
སློབ་གྲྭས,སློབ་གྲྭ
སློབ་པའི,སློབ་པ
སློབ་པར,སློབ་པ
སློབ་པས,སློབ་པ
སློབ་མའི,སློབ་མ
སློབ་མར,སློབ་མ
སློབ་མས,སློབ་མ
གསང་རྒྱའི,གསང་རྒྱ
གསང་བའི,གསང་བ
གསང་བར,གསང་བ
གསད་པར,གསད་པ
གསན་པའི,གསན་པ
གསན་པས,གསན་པ
གསར་པའི,གསར་པ
གསར་པར,གསར་པ
གསར་པས,གསར་པ
གསར་མའི,གསར་མ
གསལ་བའི,གསལ་བ
གསལ་བར,གསལ་བ
གསལ་བས,གསལ་བ
གསུང་བའི,གསུང་བ
གསུང་བར,གསུང་བ
གསུང་བས,གསུང་བ
གསུངས་པའི,གསུངས་པ
གསུངས་པར,གསུངས་པ
གསུངས་པས,གསུངས་པ
གསུས་པའི,གསུས་པ
གསེར་དམར,གསེར་དམ
གསོ་བའི,གསོ་བ
གསོ་བར,གསོ་བ
གསོག་པའི,གསོག་པ
གསོད་པའི,གསོད་པ
གསོད་པར,གསོད་པ
གསོན་པའི,གསོན་པ
གསོལ་བའི,གསོལ་བ
གསོལ་བར,གསོལ་བ
གསོལ་བས,གསོལ་བ
གསོས་པའི,གསོས་པ
བསགས་པའི,བསགས་པ
བསགས་པར,བསགས་པ
བསངས་པའི,བསངས་པ
བསད་པའི,བསད་པ
བསད་པས,བསད་པ
བསམ་པའི,བསམ་པ
བསམ་པར,བསམ་པ
བསམ་པས,བསམ་པ
བསམས་པས,བསམས་པ
བསལ་བའི,བསལ་བ
བསལ་བར,བསལ་བ
བསིལ་བའི,བསིལ་བ
བསིལ་བས,བསིལ་བ
བསུ་བའི,བསུ་བ
བསུ་བར,བསུ་བ
བསུབ་པར,བསུབ་པ
བསུབ་པས,བསུབ་པ
བསུམ་པའི,བསུམ་པ
བསུམས་པའི,བསུམས་པ
བསུས་པའི,བསུས་པ
བསོས་པའི,བསོས་པ
བསྲིངས་པས,བསྲིངས་པ
བསྲུང་བའི,བསྲུང་བ
བསྲུང་བར,བསྲུང་བ
བསྲུབས་པའི,བསྲུབས་པ
བསྲེག་པའི,བསྲེག་པ
བསྲེག་པས,བསྲེག་པ
བསྲེགས་པའི,བསྲེགས་པ
བསྲེས་པའི,བསྲེས་པ
བསྲེས་པས,བསྲེས་པ
བསླངས་པའི,བསླངས་པ
བསླད་པའི,བསླད་པ
བསླབ་པའི,བསླབ་པ
བསླབ་བྱའི,བསླབ་བྱ
བསླབས་པའི,བསླབས་པ
བསླབས་པར,བསླབས་པ
བསླབས་པས,བསླབས་པ
བསླས་པའི,བསླས་པ
བསླུ་བའི,བསླུ་བ
བསླུ་བར,བསླུ་བ
བསླུས་པས,བསླུས་པ
བསློགས་པའི,བསློགས་པ
ཧམ་པས,ཧམ་པ
ཧེ་རུ་ཀའི,ཧེ་རུ་ཀ
ལྷ་སའི,ལྷ་ས
ལྷ་སར,ལྷ་ས
ལྷ་སས,ལྷ་ས
ལྷག་པའི,ལྷག་པ
ལྷག་པར,ལྷག་པ
ལྷག་མའི,ལྷག་མ
ལྷག་མར,ལྷག་མ
ལྷགས་པའི,ལྷགས་པ
ལྷགས་པར,ལྷགས་པ
ལྷགས་པས,ལྷགས་པ
ལྷས་མར,ལྷས་མ
ལྷུང་བའི,ལྷུང་བ
ལྷུང་བར,ལྷུང་བ
ལྷུང་བས,ལྷུང་བ
ལྷོ་ཁའི,ལྷོ་ཁ
ལྷོད་པའི,ལྷོད་པ
ལྷོད་པར,ལྷོད་པ
ལྷོད་པས,ལྷོད་པ
ཨ་ཕའི,ཨ་ཕ
ཨ་ཕར,ཨ་ཕ
ཨ་ཕས,ཨ་ཕ
ཨ་བས,ཨ་བ
ཨ་བྲའི,ཨ་བྲ
ཨ་བྲས,ཨ་བྲ
ཨ་མའི,ཨ་མ
ཨ་མར,ཨ་མ
ཨ་མས,ཨ་མ
